name,cv_auc_mean,cv_auc_std,test_auc,test_pr_auc,test_precision,test_recall,test_f1,test_brier,tuned_threshold,test_f1_at_tuned_threshold,meets_target_auc
XGBoost,0.8465808976684828,0.01049178910317339,0.8434110930274614,0.6466457519697003,0.5615550755939525,0.6951871657754011,0.6212664277180406,0.1465541392457269,0.4699999999999999,0.6344827586206897,False
LightGBM,0.8462640365161149,0.010460856852626089,0.8437262652096411,0.648980756503751,0.555793991416309,0.6925133689839572,0.6166666666666667,0.14622495850636325,0.4799999999999999,0.6214953271028038,False
LogisticRegression,0.8449010883177468,0.013400500869385325,0.8390865173473869,0.6233266064117746,0.5016949152542373,0.7914438502673797,0.6141078838174274,0.16863019398426973,0.5499999999999999,0.6102449888641426,False
RandomForest,0.8195129403904945,0.01104436118906153,0.8188741636311969,0.5907328417088532,0.5788043478260869,0.56951871657754,0.5741239892183289,0.15370134397113472,0.36999999999999994,0.6013667425968109,False
